place,place_EN,place_SCO,coords
http://www.wikidata.org/entity/Q15059177,Cammachmore,,Point(-2.1588 57.0438)
http://www.wikidata.org/entity/Q5054079,Catterline,Katerlinn,Point(-2.21778 56.8978)
http://www.wikidata.org/entity/Q16826299,Chapelton,,Point(-2.1745 57.0344)
http://www.wikidata.org/entity/Q5128602,Clatt,,Point(-2.767 57.322)
http://www.wikidata.org/entity/Q5131897,Clerkhill,,Point(-1.79889 57.5014)
http://www.wikidata.org/entity/Q64990811,Cloak,cloak,Point(-2.681777 57.133913)
http://www.wikidata.org/entity/Q5134927,Clola,,Point(-2.001 57.485)
http://www.wikidata.org/entity/Q5137878,Coalford,,Point(-2.2952 57.0891)
http://www.wikidata.org/entity/Q5139496,Cock Bridge,,Point(-3.23333 57.15)
http://www.wikidata.org/entity/Q5147203,Collieston,,Point(-1.93333 57.35)
http://www.wikidata.org/entity/Q5149343,Colpy,Colpy,Point(-2.59694 57.3797)
http://www.wikidata.org/entity/Q5167161,Cookney,,Point(-2.2 57.0333)
http://www.wikidata.org/entity/Q5170492,Corgarff,Corgarff,Point(-3.1925 57.1608)
http://www.wikidata.org/entity/Q64821666,Coriestane,,Point(-2.7772 57.4357)
http://www.wikidata.org/entity/Q2050648,Cornhill,,Point(-2.6981 57.612)
http://www.wikidata.org/entity/Q12055494,Corriemulzie,,Point(-3.46194 56.9867)
http://www.wikidata.org/entity/Q5173231,Cortes,,Point(-1.991 57.623)
http://www.wikidata.org/entity/Q5175854,Cottown,,Point(-2.8233 57.3266)
http://www.wikidata.org/entity/Q5179718,Cowie,,Point(-2.2025 56.971361111)
http://www.wikidata.org/entity/Q5181652,Craigdam,,Point(-2.25 57.35)
http://www.wikidata.org/entity/Q1139052,Crathie,Crathie,Point(-3.21528 57.0403)
http://www.wikidata.org/entity/Q5183012,Crawton,,Point(-2.20032 56.9094)
http://www.wikidata.org/entity/Q1009846,Crimond,Creemond,Point(-1.914 57.601)
http://www.wikidata.org/entity/Q5189054,Crovie,Crui',Point(-2.3241 57.679)
http://www.wikidata.org/entity/Q1012006,Cruden Bay,,Point(-1.85248 57.4173)
http://www.wikidata.org/entity/Q1009160,Cuminestown,,Point(-2.33167 57.5397)
http://www.wikidata.org/entity/Q64759799,Cushnie,,Point(-2.504206 57.459141)
http://www.wikidata.org/entity/Q1785583,Daviot,Dauvit,Point(-2.41667 57.3333)
http://www.wikidata.org/entity/Q13414958,Dess,,Point(-2.71545 57.08948)
http://www.wikidata.org/entity/Q5278439,Dinnet,Dinnet,Point(-2.893 57.077)
http://www.wikidata.org/entity/Q5303186,Downies,The Dounies,Point(-2.11667 57.0333)
http://www.wikidata.org/entity/Q5309119,Drumblade,,Point(-2.6914 57.4508)
http://www.wikidata.org/entity/Q5309183,Drumlithie,Drumlithie,Point(-2.35 56.9167)
http://www.wikidata.org/entity/Q635398,Drumoak,,Point(-2.33828 57.0862)
http://www.wikidata.org/entity/Q5310711,Dubford,,Point(-2.3395 57.6591)
http://www.wikidata.org/entity/Q67913197,Dunbennan,,Point(-2.82671 57.454058)
http://www.wikidata.org/entity/Q5314951,Dunecht,Dunecht,Point(-2.4101 57.1712)
http://www.wikidata.org/entity/Q24718529,Durno,,Point(-2.5006 57.3345)
http://www.wikidata.org/entity/Q5332839,Echt,,Point(-2.43455 57.1405)
http://www.wikidata.org/entity/Q39061003,Edzell Woods,,Point(-2.6219559 56.814992)
http://www.wikidata.org/entity/Q65981566,Elliewell,,Point(-1.913549 57.602797)
http://www.wikidata.org/entity/Q1026799,Ellon,Eelon,Point(-2.086 57.366)
http://www.wikidata.org/entity/Q5367338,Elrick,,Point(-2.29416 57.1481)
http://www.wikidata.org/entity/Q71217908,Eslie,,Point(-2.4665 57.020517)
http://www.wikidata.org/entity/Q64732884,Fawside,,Point(-2.257039 56.883724)
http://www.wikidata.org/entity/Q56667552,Fermtoun of Upperton,,Point(-3.0569595 57.247261)
http://www.wikidata.org/entity/Q5445976,Fetterangus,Feshie,Point(-2.02337 57.54739)
http://www.wikidata.org/entity/Q3070901,Fettercairn,Fettercairn,Point(-2.57548 56.8516)
http://www.wikidata.org/entity/Q64759779,Findlater,,Point(-2.771418 57.686823)
http://www.wikidata.org/entity/Q5450013,Findon,Finnan,Point(-2.10222 57.0689)
http://www.wikidata.org/entity/Q5451002,Finzean,Fingan,Point(-2.6293 57.0219)
http://www.wikidata.org/entity/Q15217955,Folla Rule,,Point(-2.43333333 57.38333333)
http://www.wikidata.org/entity/Q64713250,Footie,,Point(-2.638259 57.102973)
http://www.wikidata.org/entity/Q5467219,Forbes,,Point(-2.723 57.246)
http://www.wikidata.org/entity/Q5468100,Fordoun,,Point(-2.41175 56.8729)
http://www.wikidata.org/entity/Q5468112,Fordyce,,Point(-2.74653 57.6618)
http://www.wikidata.org/entity/Q15218029,Forgue,,Point(-2.65 57.48333333)
http://www.wikidata.org/entity/Q64711696,Fortie,,Point(-2.559456 57.495398)
http://www.wikidata.org/entity/Q64854661,Fortree,,Point(-2.07619 57.445274)
http://www.wikidata.org/entity/Q5473155,Forvie,,Point(-1.97187 57.32833)
http://www.wikidata.org/entity/Q5476354,Foveran,Foveran,Point(-2.03483 57.2994)
http://www.wikidata.org/entity/Q138873,Fraserburgh,The Broch,Point(-2.005 57.693)
http://www.wikidata.org/entity/Q1011189,Fyvie,Fyvie,Point(-2.39798 57.4272)
http://www.wikidata.org/entity/Q1009777,Gardenstown,Gamrie,Point(-2.337 57.6703)
http://www.wikidata.org/entity/Q5523488,Garlogie,,Point(-2.35 57.1333)
http://www.wikidata.org/entity/Q5523569,Garmond,,Point(-2.32667 57.5617)
http://www.wikidata.org/entity/Q5524417,Gartly,Gairtlie,Point(-2.7974 57.3787)
http://www.wikidata.org/entity/Q5560293,Gight,,Point(-2.284 57.449)
http://www.wikidata.org/entity/Q5568168,Glenbervie,,Point(-2.38333 56.9167)
http://www.wikidata.org/entity/Q15812597,Gordonstown,,Point(-2.73277778 57.595)
http://www.wikidata.org/entity/Q5588407,Gourdon,Gourdon,Point(-2.28333 56.8167)
http://www.wikidata.org/entity/Q64821650,Grange,grange,Point(-1.8083 57.5064)
http://www.wikidata.org/entity/Q24641410,Harlaw,Haarlaw,Point(-2.42249 57.312801)
http://www.wikidata.org/entity/Q5682109,Hatton,Hawton,Point(-1.91556 57.4256)
http://www.wikidata.org/entity/Q5682173,Hatton of Fintray,,Point(-2.266 57.238)
http://www.wikidata.org/entity/Q1016931,Huntly,Huntly,Point(-2.78333 57.45)
http://www.wikidata.org/entity/Q987782,Insch,The Insch,Point(-2.61302 57.341)
http://www.wikidata.org/entity/Q6059983,Inverallochy and Cairnbulg,,Point(-1.933 57.675)
